"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "JSON with Comments", "Vue", "comment", "blank", "total"
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\db.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 12, 0, 20
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package-lock.json", "JSON", 0, 0, 10435, 0, 0, 0, 0, 1, 10436
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\App.vue", "Vue", 0, 0, 0, 0, 0, 299, 16, 56, 371
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\data.js", "JavaScript", 56, 0, 0, 0, 0, 0, 8, 10, 74
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\parallax.js", "JavaScript", 441, 0, 0, 0, 0, 0, 44, 66, 551
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\questionnaire.js", "JavaScript", 55, 0, 0, 0, 0, 0, 7, 4, 66
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\userinfo.js", "JavaScript", 99, 0, 0, 0, 0, 0, 13, 18, 130
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AnswerTitle.vue", "Vue", 0, 0, 0, 0, 0, 50, 1, 10, 61
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AsideMenu.vue", "Vue", 0, 0, 0, 0, 0, 313, 35, 43, 391
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 0, 56, 1, 3, 60
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LeftTools.vue", "Vue", 0, 0, 0, 0, 0, 858, 4, 118, 980
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\Login.vue", "Vue", 0, 0, 0, 0, 0, 232, 60, 35, 327
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LoginAndRegister.vue", "Vue", 0, 0, 0, 0, 0, 402, 6, 78, 486
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\Newhome.vue", "Vue", 0, 0, 0, 0, 0, 44, 2, 15, 61
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\QuestionnaireBox.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\SingleSelect.vue", "Vue", 0, 0, 0, 0, 0, 173, 1, 28, 202
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\StepSlide.vue", "Vue", 0, 0, 0, 0, 0, 20, 0, 3, 23
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\TestCssPro.vue", "Vue", 0, 0, 0, 0, 0, 343, 4, 62, 409
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\UserInfo.vue", "Vue", 0, 0, 0, 0, 0, 212, 6, 43, 261
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 6, 26
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\router\index.js", "JavaScript", 77, 0, 0, 0, 0, 0, 15, 9, 101
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\store\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\utils\request.js", "JavaScript", 27, 0, 0, 0, 0, 0, 24, 10, 61
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AboutView.vue", "Vue", 0, 0, 0, 0, 0, 96, 2, 22, 120
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnalyzeView.vue", "Vue", 0, 0, 0, 0, 0, 568, 71, 110, 749
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnswerView.vue", "Vue", 0, 0, 0, 0, 0, 461, 55, 104, 620
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\CreateView.vue", "Vue", 0, 0, 0, 0, 0, 621, 101, 126, 848
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 27, 123, 15, 165
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 0, 256, 11, 50, 317
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\ManageView.vue", "Vue", 0, 0, 0, 0, 0, 1020, 53, 181, 1254
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\MenuView.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\RegisterView.vue", "Vue", 0, 0, 0, 0, 0, 250, 59, 41, 350
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\UserInfoView.vue", "Vue", 0, 0, 0, 0, 0, 528, 48, 99, 675
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\test.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 6, 81
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 7, 2, 13
"Total", "-", 814, 15, 10474, 91, 8, 6854, 792, 1395, 20443
